Field_ID,Area_m2,Area_ha,Suitability_Class,Final_Score,Water_Access,Water_Score,Soil_Score,Terrain_Score,Stream_Distance_m,Texture,pH,Tier,Primary_Crop,Secondary_Crop,Kharif_Recommendation,Rabi_Recommendation,Limiting_Factor,Key_Interventions,WKT
95,4490,0.45,Marginally Suitable,2.3,Low Access,2,3,3,379.9,Clay Loam,8.233333333333333,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37173746534157 26.213175130418733, 66.37249193215145 26.213188908009077, 66.37249011590852 26.213712972815003, 66.37172030186912 26.213716798621263, 66.37173746534157 26.213175130418733))"
43,4501,0.45,Moderately Suitable,2.75,High Access,3,3,4,72.5,Clay Loam,8.133333333333333,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35794719357565 26.211650138537554, 66.35876393737858 26.21176816173516, 66.35867721391375 26.21230858033327, 66.35806424740053 26.21218537493755, 66.35806206796525 26.21205984661764, 66.35789861034291 26.21204344643103, 66.35794719357565 26.211650138537554))"
74,4531,0.45,Moderately Suitable,3.05,Very High Access,4,3,4,41.9,Clay Loam,8.196078431372548,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37508108324452 26.21553413702229, 66.37566918572782 26.21566135218316, 66.37576163302406 26.21574809807354, 66.37583228529017 26.215919593921136, 66.37588568315273 26.216193840510233, 66.37505792604077 26.216124971027682, 66.37508108324452 26.21553413702229))"
41,4543,0.45,Moderately Suitable,2.75,High Access,3,3,4,79.2,Clay Loam,8.133333333333333,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35883876475593 26.211751634585013, 66.35949214258571 26.211844282344334, 66.35943847385671 26.21246140698738, 66.35873169985865 26.21231404680364, 66.35883876475593 26.211751634585013))"
377,4545,0.45,Moderately Suitable,2.95,Moderate Access,3,4,3,163.4,Clay Loam,8.043859649122806,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37259137146121 26.201249016011403, 66.3726309655657 26.20125426658156, 66.37267264835305 26.20116990631164, 66.37271723713336 26.20117068002272, 66.3727916123165 26.201176530931733, 66.37290530919677 26.20120106826972, 66.37297923034373 26.201224733212733, 66.37303825829362 26.20124827634746, 66.37311690169496 26.20128547961949, 66.37314614323962 26.20130843998046, 66.37317020848714 26.2013447497254, 66.37318319463999 26.201430104380965, 66.37312262286662 26.201912719725765, 66.373042254032 26.20195603161466, 66.37251399950361 26.20182098046161, 66.37259137146121 26.201249016011403))"
396,4552,0.46,Marginally Suitable,2.45,Low Access,2,3,4,404.4,Clay Loam,8.033333333333333,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36946517145932 26.19939569991712, 66.3695257428377 26.199352011482326, 66.3695709670495 26.199330424391007, 66.36962073184903 26.199322344118237, 66.37023307535539 26.199472399266718, 66.37023698026199 26.1995217509165, 66.37023089587262 26.19957098245795, 66.37019693226762 26.1997539442528, 66.37018113101892 26.199793944506514, 66.37015016420524 26.19984717377157, 66.37011974226387 26.19987794083244, 66.37006952336124 26.199899425566556, 66.37000949679457 26.199920736805527, 66.36994474802412 26.19992850967504, 66.36984549080708 26.199926739957352, 66.36971653818173 26.19991982333318, 66.36960765496696 26.199904428361837, 66.3695287396227 26.199880574751123, 66.36936073806373 26.199846198777934, 66.36946517145932 26.19939569991712))"
153,4609,0.46,Moderately Suitable,3.05,Very High Access,4,3,4,10.0,Clay Loam,8.166666666666668,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35637845675257 26.207021133855946, 66.3573185177903 26.207387780647053, 66.35709267415622 26.20771507335598, 66.35650259339255 26.20745788812257, 66.3562269864788 26.207349793608586, 66.35596227683673 26.207197123700297, 66.35637845675257 26.207021133855946))"
322,4621,0.46,Moderately Suitable,2.75,Moderate Access,3,3,4,141.5,Clay Loam,8.119607843137256,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.3549664611772 26.20534230303585, 66.35505282082687 26.20525884138338, 66.35514826142271 26.2052068012001, 66.35531199066567 26.205214343824462, 66.35546455040297 26.2052753172933, 66.35559250083395 26.20532693438977, 66.35578492598745 26.205379814676846, 66.35587827809155 26.20542178408961, 66.35590188854837 26.20547599116051, 66.35588463475291 26.20558314204505, 66.35583387227354 26.2056314859541, 66.35577366561799 26.205657248201813, 66.35564108386549 26.205811633011074, 66.35555644950301 26.205823491544038, 66.35544756904919 26.20580808101948, 66.35539807794086 26.205798224149934, 66.35540416216863 26.20574899856265, 66.35537519398032 26.205712685741766, 66.35531090095341 26.205702550588146, 66.35526131904788 26.205697087061136, 66.35522599421313 26.205723349476177, 66.3551074880358 26.2056943134499, 66.35490997779634 26.205645891607237, 66.35487047575687 26.20563615633401, 66.35487120223112 26.205604825009317, 66.3549664611772 26.20534230303585))"
92,4688,0.47,Marginally Suitable,2.15,Very Low Access,1,3,4,508.1,Clay Loam,8.104444444444445,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37042841153084 26.217505048043158, 66.37039099706519 26.217844774271224, 66.36923015094081 26.21779212332618, 66.36919873012162 26.217424267487907, 66.37042841153084 26.217505048043158))"
193,4715,0.47,Moderately Suitable,3.05,Very High Access,4,3,4,23.0,Clay Loam,8.150980392156862,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36942585001331 26.208653626383875, 66.36999487610382 26.208740147649124, 66.36984576324224 26.209409288345093, 66.36984085940946 26.209409201365133, 66.36979618004614 26.209408408871475, 66.36978973241473 26.20947546723517, 66.36972589178667 26.20944294609832, 66.3696711323348 26.2094464265413, 66.36959103642978 26.20947629547027, 66.36952592446103 26.209501978342615, 66.36945654435199 26.209496225034624, 66.36937871876871 26.20942312100669, 66.36934030544514 26.209364227029848, 66.36931179059198 26.209309932189623, 66.36942585001331 26.208653626383875))"
401,4734,0.47,Moderately Suitable,2.8000000000000003,Low Access,2,4,4,333.4,Clay Loam,8.033333333333333,3,Date Palm,Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Drip irrigation system; Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37167307961963 26.19991089896988, 66.37280795851193 26.200007763477302, 66.37284155902624 26.200057682513798, 66.37285572573018 26.20008922408438, 66.37285499923253 26.200125053563646, 66.3728376541015 26.20023228823633, 66.37284691694629 26.20026382798341, 66.37281985491002 26.20036183144527, 66.37197748157463 26.20028368807211, 66.37153195776692 26.20022631964343, 66.37167307961963 26.19991089896988))"
13,4755,0.48,Marginally Suitable,2.15,Very Low Access,1,3,4,676.6,Clay Loam,8.115789473684211,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36502377256365 26.21846314100593, 66.36560459961323 26.21846925419218, 66.3655908871478 26.21863925711196, 66.36554103189549 26.2186473140522, 66.36552341455786 26.21876788443063, 66.36543932356211 26.218972400372426, 66.36536258826926 26.219293507819906, 66.36489146104525 26.219262496633867, 66.36502377256365 26.21846314100593))"
148,4782,0.48,Moderately Suitable,3.05,Very High Access,4,3,4,9.5,Clay Loam,8.166666666666668,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.3550078702189 26.2085636337129, 66.35504473879811 26.208470232045354, 66.35508197061701 26.20835900263367, 66.35512038295963 26.208198460552577, 66.35512764770557 26.208095513882043, 66.3552166408511 26.207895585369727, 66.35579582311942 26.208192942167663, 66.35528910670868 26.20886000945508, 66.35490489247616 26.208722979552668, 66.3550078702189 26.2085636337129))"
72,4842,0.48,Moderately Suitable,3.05,Very High Access,4,3,4,19.5,Clay Loam,8.184126984126983,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37587968951483 26.21623850705276, 66.37584990295176 26.216461955891575, 66.37568280762709 26.216602244513652, 66.37561279106832 26.21684729527164, 66.37548637987146 26.216947997465095, 66.37511976939885 26.216909967924384, 66.37511586445828 26.216197679394703, 66.37587968951483 26.21623850705276))"
70,4867,0.49,Moderately Suitable,2.75,High Access,3,3,4,68.1,Clay Loam,8.133333333333333,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37403673970955 26.21670652766015, 66.37490227333109 26.21774812259599, 66.37386465024383 26.217514135916858, 66.37403673970955 26.21670652766015))"
154,4950,0.49,Moderately Suitable,3.05,Very High Access,4,3,4,10.7,Clay Loam,8.166666666666668,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35661428914932 26.206913488019367, 66.35716041815586 26.20669508456816, 66.35725967311929 26.20669695359905, 66.35763308261863 26.206873986727093, 66.35763653338851 26.206941231419023, 66.3573185177903 26.207387780647053, 66.35645818752474 26.207009187749705, 66.35661428914932 26.206913488019367))"
385,4950,0.49,Marginally Suitable,2.1,Low Access,2,2,4,251.2,Clay Loam,8.133333333333333,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36610406050414 26.19386943983082, 66.3667364694429 26.19400643898214, 66.3666133294499 26.194626773574633, 66.3658961030972 26.19450619218585, 66.36610406050414 26.19386943983082))"
22,5013,0.5,Marginally Suitable,2.15,Very Low Access,1,3,4,524.2,Clay Loam,8.063333333333334,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36241187452025 26.216251707088556, 66.36308995702271 26.216349227851516, 66.36294166329677 26.216982585990188, 66.36224360266745 26.2168846493719, 66.36241187452025 26.216251707088556))"
197,5014,0.5,Moderately Suitable,2.75,Moderate Access,3,3,4,110.5,Clay Loam,8.081333333333333,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37028056991898 26.20796146513214, 66.37094840021253 26.20807223100211, 66.37094812777684 26.208085666521292, 66.37094749209356 26.208112521815508, 66.37093160001182 26.20815708373791, 66.3709058094344 26.208201371297715, 66.37088020048195 26.208236786625505, 66.37084442059998 26.208280868837708, 66.37071165364677 26.208444152511852, 66.37066624771923 26.20847469429366, 66.37062038773614 26.20852762849494, 66.37058933008636 26.20858533339752, 66.37056826174012 26.20863866457762, 66.37052666992099 26.208723034973087, 66.37049624795917 26.20874930556428, 66.36997725862602 26.208641273427013, 66.37028056991898 26.20796146513214))"
71,5022,0.5,Moderately Suitable,2.9,Very High Access,4,3,3,4.3,Clay Loam,8.159999999999998,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37531465321209 26.217074762273516, 66.37546413077726 26.217274592143664, 66.37547720779578 26.21757941236012, 66.37551816429328 26.217745929353335, 66.3754262619128 26.217856174246872, 66.37522129786348 26.217915189770896, 66.37484724093649 26.21732604956428, 66.37454719642437 26.216975636637592, 66.37531465321209 26.217074762273516))"
211,5050,0.51,Marginally Suitable,2.4,Moderate Access,3,2,4,100.4,Clay Loam,8.133333333333333,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Soil Quality (alkalinity, low organic carbon)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37075578821185 26.20846740595463, 66.37083706483774 26.208388218690057, 66.37095947926409 26.208242643417623, 66.37110732105498 26.207631698591033, 66.37136450047943 26.20767670307739, 66.37145331458773 26.207700747695704, 66.37149263617594 26.207719435437255, 66.37152160519999 26.20775574726484, 66.37153568105859 26.207791851808878, 66.37153976759826 26.207832245402304, 66.37129321309183 26.208638496967538, 66.37070447950997 26.20854263002256, 66.3706997572934 26.20853358611619, 66.37075578821185 26.20846740595463))"
364,5093,0.51,Marginally Suitable,2.1,Low Access,2,2,4,301.9,Clay Loam,8.122222222222222,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36522737071967 26.200832028167035, 66.36532717198381 26.200807016226612, 66.36584043590925 26.200946279701427, 66.36587394519464 26.201000677469825, 66.36588320792428 26.201032216578366, 66.36581582611014 26.20138032883586, 66.36578413304942 26.201464888802256, 66.36575834270906 26.20150468172749, 66.36572819343945 26.201522095779637, 66.3656781565528 26.201539114760003, 66.36504030015428 26.20141988441448, 66.36500134226284 26.201387861076643, 66.36522737071967 26.200832028167035))"
198,5096,0.51,Moderately Suitable,2.75,Moderate Access,3,3,4,181.1,Clay Loam,8.033333333333333,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.3694781575264 26.207431703904064, 66.36994928861087 26.207458259172615, 66.37024778686413 26.20765186994833, 66.37027684663565 26.207683703358224, 66.37028629106172 26.20770628541751, 66.37029037759227 26.207746678800213, 66.37027966180108 26.20778230144058, 66.37025123771191 26.20794306718686, 66.37021454975232 26.208027524616746, 66.37018866839612 26.208071796140917, 66.37014371656977 26.20808443955519, 66.36941549748526 26.208008396712547, 66.3694781575264 26.207431703904064))"
151,5099,0.51,Moderately Suitable,2.75,High Access,3,3,4,59.2,Clay Loam,8.166666666666668,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.3562375203814 26.20754256964354, 66.35694065883044 26.207851164056848, 66.3566911140487 26.20834375470899, 66.35591778020257 26.20806978521294, 66.3562375203814 26.20754256964354))"
426,5228,0.52,Marginally Suitable,1.7999999999999998,Very Low Access,1,2,4,699.1,Silty Clay Loam,8.100000381469727,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.3702847472613 26.19562566629906, 66.370301819878 26.195531952167453, 66.37044829931821 26.19497916433477, 66.37047872127744 26.194948395805493, 66.37052903102855 26.194922430435824, 66.37059868370585 26.194914741933786, 66.37069276478046 26.194925448329457, 66.37081617810594 26.194959045815565, 66.37085531802573 26.19498219490809, 66.3709041748204 26.19501889996325, 66.37096283930435 26.195060272599946, 66.37099707539149 26.195083335108297, 66.37100642901777 26.195105817047267, 66.3707312690086 26.19586230175199, 66.3706565308512 26.19587436633189, 66.37058261001032 26.19585061699471, 66.37048398836308 26.195821993494615, 66.37030163825442 26.195760373593693, 66.37028220453118 26.19574208089695, 66.37027312335233 26.195701583688287, 66.3702847472613 26.19562566629906))"
384,5265,0.53,Marginally Suitable,2.1,Low Access,2,2,4,275.7,Clay Loam,8.123188405797102,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36579675578685 26.194728275186115, 66.3659140836909 26.19458715418314, 66.36665038041839 26.194743943161782, 66.36667871351361 26.19480719579515, 66.36660025263808 26.19498490380744, 66.36656338329527 26.195078322086303, 66.36652833017851 26.195315026303305, 66.36569441172963 26.195084753084714, 66.36567570465466 26.195030631323228, 66.36579675578685 26.194728275186115))"
125,5275,0.53,Moderately Suitable,3.05,Very High Access,4,3,4,10.7,Clay Loam,8.233333333333333,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35735075522845 26.209699685207458, 66.35740614914063 26.209664863994117, 66.35746581111448 26.20966147730106, 66.3577700237137 26.20982388214374, 66.3576531515701 26.210820586210378, 66.35721154399484 26.210803502238445, 66.35735075522845 26.209699685207458))"
225,5293,0.53,Marginally Suitable,2.1,Low Access,2,2,4,443.3,Sandy Clay Loam,7.933333333333334,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.3539330523191 26.188682940653987, 66.35424661633297 26.18886789677737, 66.3537400829516 26.1897544458208, 66.35323954342678 26.189494413170735, 66.3539330523191 26.188682940653987))"
111,5311,0.53,Moderately Suitable,3.05,Very High Access,4,3,4,36.0,Clay Loam,8.233333333333333,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37652373351499 26.21453921463698, 66.3767820959869 26.214754440453994, 66.37690460252207 26.215047790517612, 66.37664524105288 26.215096875211806, 66.37653908087819 26.21496052063551, 66.37627081992723 26.214964560819535, 66.37628816516427 26.21507687124998, 66.37622550436285 26.214990624931126, 66.3757913287698 26.21508572310869, 66.3756933418961 26.214586750593703, 66.37652373351499 26.21453921463698))"
170,5339,0.53,Marginally Suitable,2.45,Low Access,2,3,4,345.1,Clay Loam,8.200000000000001,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36217694777595 26.20685448140838, 66.36304446090298 26.20713914704901, 66.36289979961272 26.207606797910653, 66.36221354439796 26.20743292963926, 66.36198660905596 26.207366017105006, 66.36217694777595 26.20685448140838))"
173,5349,0.53,Marginally Suitable,2.45,Low Access,2,3,4,277.4,Clay Loam,8.203174603174602,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36235021418622 26.206217116613306, 66.36319257303496 26.20651471500376, 66.3632119157013 26.206537486976117, 66.36308714189344 26.2070055360125, 66.36217004618 26.206719904229857, 66.36235021418622 26.206217116613306))"
293,5365,0.54,Moderately Suitable,2.75,Moderate Access,3,3,4,153.9,Clay Loam,8.066666666666668,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35171322757186 26.205819910837647, 66.35170877794229 26.205797432804264, 66.35171032169133 26.205730293201405, 66.35171113897023 26.20569448435581, 66.3517125919105 26.205631822802925, 66.35171359080694 26.20558697300025, 66.35172439705035 26.205546877129805, 66.35174510145005 26.205511466150913, 66.35177543158085 26.20548510183741, 66.35181139185784 26.205432072964943, 66.35183754478803 26.20537429012428, 66.35188394808036 26.205298992755232, 66.35194914879904 26.20526884251533, 66.35199391754206 26.205265162932776, 66.35239302241872 26.205402404900518, 66.3523316356204 26.206140361528476, 66.35177697533007 26.206076435560238, 66.35178460326743 26.205960071594767, 66.35174555549392 26.205928029764053, 66.35171132058777 26.205904962707454, 66.35168244340065 26.205864171573513, 66.35171322757186 26.205819910837647))"
129,5368,0.54,Moderately Suitable,3.05,Very High Access,4,3,4,2.5,Clay Loam,8.133333333333333,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36014188877542 26.21055725056275, 66.36125676600658 26.21066277565509, 66.36119174581853 26.211122941584712, 66.36011264791037 26.21097325321304, 66.36014188877542 26.21055725056275))"
243,5382,0.54,Marginally Suitable,2.45,Low Access,2,3,4,267.5,Clay Loam,8.033333333333333,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.34773400165817 26.198678328859724, 66.34863945012177 26.199039930597365, 66.34830736439883 26.199450355752703, 66.34747964818371 26.199166337766563, 66.34773400165817 26.198678328859724))"
312,5424,0.54,Moderately Suitable,2.75,Moderate Access,3,3,4,243.0,Clay Loam,8.100000381469727,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.3544908930837 26.202659435582824, 66.3545710776316 26.202625097922983, 66.35516106553814 26.202667317333457, 66.35520465401841 26.202712949372668, 66.35521337171488 26.20276686276516, 66.35517986306984 26.203151431279757, 66.3551536191731 26.203433135322012, 66.35509441149365 26.20341862576136, 66.35501558900991 26.203390284491825, 66.35442469316558 26.203173404386607, 66.3544908930837 26.202659435582824))"
414,5548,0.55,Marginally Suitable,2.45,Low Access,2,3,4,340.3,Clay Loam,8.133333333333333,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36832121818654 26.189990682091125, 66.36892802076683 26.19016307865267, 66.36894200574874 26.190203577944132, 66.36894127925616 26.190234913475315, 66.36879906835264 26.190819145731364, 66.36877327787337 26.19086343741838, 66.36873831542977 26.190871795146343, 66.36868873233168 26.190870835186015, 66.36861935232633 26.190865087831412, 66.36858448070386 26.190868966771685, 66.36855396803597 26.190899719851455, 66.36852872243702 26.190921718286464, 66.3684691500929 26.190920638419, 66.36825183822673 26.190867377121318, 66.3682679118554 26.19081834900537, 66.3682887984922 26.19076947650465, 66.36830450887605 26.190733953598475, 66.36832031007182 26.190693951950333, 66.36832630362896 26.190649197889396, 66.36831685923593 26.19062670017209, 66.36830723322014 26.1906130751142, 66.36828289574694 26.190590201426545, 66.36824893226 26.190558197145698, 66.36826437020837 26.190531615933228, 66.36827027295342 26.190491425390242, 66.3682661864376 26.190451030240737, 66.36825683285706 26.190423968985904, 66.36824239383495 26.19040577863292, 66.36820779467031 26.190400715813908, 66.36817364956504 26.190373174530098, 66.36832121818654 26.189990682091125))"
114,5602,0.56,Moderately Suitable,2.75,Moderate Access,3,3,4,201.7,Clay Loam,8.133333333333333,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37445638395232 26.213941478380942, 66.37454229255052 26.213875897999333, 66.37498672899669 26.213767571753323, 66.37500116819238 26.213785762150177, 66.3749618463584 26.214653966981253, 66.37467696747244 26.21473389923048, 66.37432915570362 26.2145214808856, 66.37430917696628 26.214306110567943, 66.37445638395232 26.213941478380942))"
76,5630,0.56,Moderately Suitable,2.75,Moderate Access,3,3,4,167.8,Clay Loam,8.133333333333333,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37308448172332 26.21709676325713, 66.37308766015184 26.216733965997314, 66.37315250009735 26.216721718995537, 66.37325756988491 26.21668778568493, 66.37389289289132 26.216699396988727, 66.37392177122686 26.216740272093944, 66.3738335016021 26.217132836764836, 66.37365233096513 26.217241509988376, 66.37358467577985 26.217379105572757, 66.37299911822154 26.217359413662535, 66.37299966309492 26.217113093080236, 66.37308448172332 26.21709676325713))"
79,5700,0.57,Marginally Suitable,2.45,Low Access,2,3,4,288.0,Clay Loam,8.133333333333333,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37229677688153 26.215245803079963, 66.37235753019002 26.215193163183777, 66.37317057173617 26.215252798289075, 66.37312244124213 26.215847691812314, 66.37226499264203 26.215773825702794, 66.37225609305528 26.215728867512894, 66.37229677688153 26.215245803079963))"
273,5707,0.57,Moderately Suitable,2.75,Moderate Access,3,3,4,158.6,Clay Loam,7.972463768115942,2,Date Palm,Pomegranate,Sorghum (Jowar),Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.359578321317 26.193288387958717, 66.35991849587009 26.192734707955246, 66.36037363630672 26.192805812493145, 66.36038743945427 26.19285535262174, 66.36039125348194 26.19290468733452, 66.36039706533367 26.19352734121639, 66.36020808937307 26.193541810602262, 66.3595748705351 26.193440593014202, 66.35955570961488 26.19340886418634, 66.35955135073266 26.19338190635192, 66.35954717347055 26.19335048578905, 66.359578321317 26.193288387958717))"
